year,gini,realgdp,kofgi,r,m,tech,tt,lngini,lnrealgdp,lnkofgi,lnm,lntech,lntt
1970,23.4,1.8006E+14,0.22,8.28417,0.271500813,0.016297357,0.152261439,3.152736022,32.82431198,-1.514127733,-1.303790145,-4.116752332,-1.882156244
1971,23.2,1.88521E+14,0.25,6.41417,0.32100846,0.016677786,0.158056933,3.144152279,32.87023129,-1.386294361,-1.136287801,-4.093677625,-1.844799973
1972,22.9,2.04382E+14,0.25,4.72283,0.342674448,0.017173205,0.156040842,3.131136911,32.95101416,-1.386294361,-1.070974414,-4.064404959,-1.857637496
1973,22.8,2.208E+14,0.22,7.16075,0.336586129,0.017608262,0.164925452,3.126760536,33.028277,-1.514127733,-1.088901207,-4.039387055,-1.802261713
1974,22.8,2.18094E+14,0.22,12.5391,0.315661505,0.018037086,0.178645122,3.126760536,33.01594893,-1.514127733,-1.153084826,-4.015325307,-1.722354001
1975,22.8,2.24837E+14,0.22,10.6713,0.317006805,0.017675981,0.160642256,3.126760536,33.04639642,-1.514127733,-1.148832038,-4.035548567,-1.828575397
1976,22.8,2.33774E+14,0.23,6.977,0.318133819,0.01765813,0.155503913,3.126760536,33.08537657,-1.46967597,-1.14528317,-4.036558978,-1.861084382
1977,22.7,2.44038E+14,0.23,5.67975,0.30717749,0.017420042,0.161636552,3.122364924,33.1283435,-1.46967597,-1.180329555,-4.050133897,-1.822404972
1978,22.9,2.56903E+14,0.23,4.357,0.311632692,0.017465173,0.159486527,3.131136911,33.17972024,-1.46967597,-1.165930054,-4.047546495,-1.835795831
1979,23.1,2.70992E+14,0.22,5.85719,0.303175043,0.018342087,0.171853687,3.139832618,33.23310973,-1.514127733,-1.193444941,-3.998557024,-1.761111823
1980,23.2,2.78627E+14,0.24,10.9298,0.271042054,0.019287568,0.179393153,3.144152279,33.26089601,-1.427116356,-1.305481289,-3.948294536,-1.718175498
1981,23.6,2.90499E+14,0.25,7.43412,0.277492241,0.020546302,0.185715074,3.161246712,33.30261959,-1.386294361,-1.281962307,-3.885074306,-1.683541642
1982,23.8,3.00026E+14,0.26,6.93525,0.279140607,0.021458689,0.185945245,3.169685581,33.33489066,-1.347073648,-1.276039656,-3.841625634,-1.68230303
1983,24.3,3.10918E+14,0.27,6.39226,0.266166254,0.022815463,0.186756534,3.19047635,33.37054925,-1.30933332,-1.32363415,-3.780316771,-1.677949469
1984,25,3.24632E+14,0.28,6.09998,0.268853294,0.023686817,0.192209652,3.218875825,33.41371295,-1.272965676,-1.313589424,-3.74283663,-1.649168567
1985,25.2,3.41382E+14,0.3,7.31483,0.259260318,0.024942691,0.19478866,3.226843995,33.46402394,-1.203972804,-1.349922633,-3.691174446,-1.635840104
1986,25.4,3.52628E+14,0.32,4.96132,0.274311537,0.024709318,0.193363568,3.234749174,33.4964335,-1.139434283,-1.293490822,-3.70057486,-1.643183091
1987,25.7,3.69021E+14,0.36,3.66879,0.279064416,0.025457212,0.206098367,3.246490992,33.54187389,-1.021651248,-1.276312642,-3.670756197,-1.579401713
1988,25.8,3.93604E+14,0.38,3.83478,0.280251057,0.025673926,0.208034608,3.250374492,33.60636525,-0.967584026,-1.272069445,-3.662279355,-1.570050828
1989,26,4.12992E+14,0.4,5.1171,0.261299193,0.026600206,0.209836239,3.258096538,33.65444836,-0.916290732,-1.342089195,-3.626836319,-1.561427867
1990,26.3,4.32984E+14,0.41,7.3979,0.256568823,0.027303775,0.211342853,3.269568939,33.70172241,-0.891598119,-1.360358335,-3.600730308,-1.554273566
1991,27,4.4824E+14,0.39,7.52534,0.264311542,0.027097463,0.207108404,3.295836866,33.73634949,-0.94160854,-1.330626788,-3.608315172,-1.57451293
1992,27.7,4.52277E+14,0.38,4.65981,0.266341891,0.026598749,0.2013795,3.321432413,33.74531504,-0.967584026,-1.322974491,-3.626891094,-1.60256409
1993,27.9,4.502E+14,0.37,3.05935,0.282334233,0.025900451,0.19011279,3.328626689,33.74071226,-0.994252273,-1.264663686,-3.653494897,-1.66013775
1994,28.2,4.55077E+14,0.37,2.19571,0.276228915,0.024307727,0.171642761,3.339321978,33.75148783,-0.994252273,-1.286525355,-3.716960996,-1.762339933
1995,28.7,4.6705E+14,0.36,1.21346,0.301714851,0.02528918,0.167857363,3.356897123,33.77745767,-1.021651248,-1.19827291,-3.677378643,-1.784640692
1996,29.1,4.81687E+14,0.39,0.46982,0.331214873,0.025843688,0.167523368,3.370738174,33.80831535,-0.94160854,-1.104987951,-3.655688886,-1.786632427
1997,29.4,4.86413E+14,0.41,0.48404,0.354955328,0.026662146,0.169557441,3.380994674,33.81807981,-0.891598119,-1.035763334,-3.624510472,-1.774563526
1998,29.7,4.80234E+14,0.43,0.37148,0.380105548,0.027631958,0.161725884,3.391147046,33.80529513,-0.84397007,-0.967306307,-3.588782278,-1.821852452
1999,29.9,4.78631E+14,0.39,0.05856,0.434439159,0.027857086,0.161488879,3.39785848,33.80195024,-0.94160854,-0.833699369,-3.580667911,-1.823319
2000,30.2,4.91863E+14,0.39,0.10838,0.438597753,0.029883211,0.163610579,3.407841924,33.82922145,-0.94160854,-0.824172566,-3.510458461,-1.810266192
2001,30.2,4.93762E+14,0.41,0.05797,0.516933479,0.03108789,0.164244634,3.407841924,33.83307505,-0.891598119,-0.65984108,-3.470936925,-1.806398294
2002,30.3,4.93969E+14,0.42,0.01094,0.652739568,0.031793575,0.154708666,3.411147713,33.83349459,-0.867500568,-0.426577053,-3.448491054,-1.866211505
2003,30,5.01552E+14,0.43,0.00136,0.84897282,0.03207092,0.149610683,3.401197382,33.8487292,-0.84397007,-0.163728107,-3.439805578,-1.899718807
2004,29.6,5.12517E+14,0.45,0.000850833,0.877290892,0.031993877,0.15154605,3.387774361,33.87035483,-0.798507696,-0.130916652,-3.442210738,-1.886865741
2005,29.4,5.21762E+14,0.48,0.00123833,0.914750275,0.033511182,0.159892247,3.380994674,33.88823307,-0.733969175,-0.089104174,-3.395876105,-1.833255145
2006,29.4,5.28923E+14,0.53,0.124527,0.897599306,0.034499496,0.166986689,3.380994674,33.90186326,-0.634878272,-0.108031517,-3.366810564,-1.789841174
2007,29.6,5.36772E+14,0.58,0.472652,0.913551102,0.035127783,0.171419348,3.387774361,33.91659392,-0.544727175,-0.090415964,-3.348762923,-1.7636424
2008,30.3,5.302E+14,0.57,0.461417,0.925336826,0.035618066,0.165378674,3.411147713,33.90427547,-0.562118918,-0.077597472,-3.334902298,-1.799517442
2009,30.3,5.00014E+14,0.56,0.10525,0.998308476,0.034845346,0.154661671,3.411147713,33.84565819,-0.579818495,-0.001692956,-3.356835694,-1.866515315
2010,30,5.20505E+14,0.58,0.0935,1.009813056,0.03384553,0.152177336,3.401197382,33.88581998,-0.544727175,0.009765221,-3.385948342,-1.882708754
2011,30.2,5.20629E+14,0.59,0.07775,1.074414478,0.034936421,0.157300177,3.407841924,33.88605805,-0.527632742,0.071775842,-3.354225412,-1.849599344
2012,30.1,5.27786E+14,0.6,0.0825833,1.107826608,0.034616246,0.160563529,3.404525172,33.89971192,-0.510825624,0.102400085,-3.36343217,-1.829065596
2013,29.9,5.38369E+14,0.65,0.075,1.15323198,0.035646956,0.166824454,3.39785848,33.91956455,-0.430782916,0.142568418,-3.334091521,-1.790813191
2014,29.8,5.39963E+14,0.69,0.067916667,1.179367596,0.036566874,0.17818335,3.394508394,33.92252222,-0.371063681,0.164978359,-3.30861253,-1.724942201
2015,29.8,5.4839E+14,0.72,0.072833333,1.188943489,0.035200731,0.181455463,3.394508394,33.93800797,-0.328504067,0.173065088,-3.34668843,-1.706745039
2016,30,5.52524E+14,0.72,-0.02625,1.27377864,0.033860844,0.178489564,3.401197382,33.94551796,-0.328504067,0.24198779,-3.385495976,-1.723225146
2017,30.2,5.61781E+14,0.74,-0.048,1.322154038,0.034444639,0.181382024,3.407841924,33.96213249,-0.301105093,0.279262254,-3.36840191,-1.707149844
2018,30.6,5.65395E+14,0.75,-0.060416667,1.410353919,0.035100176,0.18509611,3.421000009,33.96854579,-0.287682072,0.343840679,-3.349549134,-1.686880074
2019,31,5.63121E+14,0.76,-0.051916667,1.482293365,0.035051064,0.184158676,3.433987204,33.96451599,-0.274436846,0.393590459,-3.350949309,-1.691957523
2020,31.3,5.39646E+14,0.76,-0.035083333,1.751552804,0.035745194,0.193451371,3.443618098,33.92193448,-0.274436846,0.560502711,-3.331339452,-1.64272911