year,gini,y,kofgi,t,r,m,tech,log_gini,log_y,log_kofgi,log_t,log_m,log_tech
1970,23.4,180060132860000.00,0.22,0.14364105,0.061875,0.124740606,100513,3.152736022,32.82431198,-1.514127733,-1.9404378,-2.08151885,11.51804235
1971,23.2,188521144174000.00,0.25,0.14866838,0.05416667,0.146085735,78425,3.144152279,32.87023129,-1.386294361,-1.906037091,-1.923561604,11.26989803
1972,22.9,204382459726000.00,0.25,0.14551648,0.04458333,0.164821091,101328,3.131136911,32.95101416,-1.386294361,-1.927465934,-1.80289469,11.52611806
1973,22.8,220799685134000.00,0.22,0.14286533,0.05979167,0.195040541,115221,3.126760536,33.028277,-1.514127733,-1.945852841,-1.634547839,11.6546073
1974,22.8,218094359452000.00,0.22,0.14555739,0.09,0.223823028,121509,3.126760536,33.01594893,-1.514127733,-1.927184837,-1.496899593,11.70774361
1975,22.8,224836912144000.00,0.22,0.15754533,0.07875,0.243409409,135118,3.126760536,33.04639642,-1.514127733,-1.848042053,-1.413010443,11.81390375
1976,22.8,233774143632000.00,0.23,0.1568232,0.065,0.265689563,135762,3.126760536,33.08537657,-1.46967597,-1.852636223,-1.325426708,11.81865863
1977,22.7,244037618578000.00,0.23,0.15624994,0.05083333,0.272184839,135991,3.122364924,33.1283435,-1.46967597,-1.856298374,-1.301273888,11.82034399
1978,22.9,256903139075000.00,0.23,0.15533586,0.03625,0.284637627,141517,3.131136911,33.17972024,-1.46967597,-1.862165668,-1.256538392,11.86017513
1979,23.1,270991814690000.00,0.22,0.15386008,0.04729167,0.298731016,150623,3.139832618,33.23310973,-1.514127733,-1.871711661,-1.208211723,11.92253531
1980,23.2,278627256234000.00,0.24,0.15435238,0.08145833,0.298044495,191020,3.144152279,33.26089601,-1.427116356,-1.868517109,-1.210512492,12.16013341
1981,23.6,290498517359000.00,0.25,0.15546772,0.06354167,0.295348117,218261,3.161246712,33.30261959,-1.386294361,-1.861317157,-1.219600561,12.29344687
1982,23.8,300026121400000.00,0.26,0.15486991,0.055,0.30255179,237513,3.169685581,33.33489066,-1.347073648,-1.865169805,-1.19550281,12.37797764
1983,24.3,310917665377000.00,0.27,0.15454502,0.05375,0.302642566,252685,3.19047635,33.37054925,-1.30933332,-1.867269834,-1.19520282,12.43989893
1984,25,324631870973000.00,0.28,0.14968644,0.05,0.298069748,284767,3.218875825,33.41371295,-1.272965676,-1.899212573,-1.210427766,12.55942658
1985,25.2,341382251912000.00,0.3,0.140504,0.05,0.298785304,302995,3.226843995,33.46402394,-1.203972804,-1.962519321,-1.20803001,12.62147158
1986,25.4,352627545834000.00,0.32,0.13937034,0.03625,0.309108013,320089,3.234749174,33.4964335,-1.139434283,-1.970620572,-1.174064507,12.67635436
1987,25.7,369020711689000.00,0.36,0.13951325,0.02541667,0.325185,341095,3.246490992,33.54187389,-1.021651248,-1.9695957,-1.123361028,12.73991631
1988,25.8,393603530193000.00,0.38,0.13395202,0.025,0.330281591,339399,3.250374492,33.60636525,-0.967584026,-2.010273603,-1.107809682,12.73493169
1989,26,412991595469000.00,0.4,0.13065295,0.03166667,0.329304522,351207,3.258096538,33.65444836,-0.916290732,-2.035210708,-1.110772358,12.76913107
1990,26.3,432984225617000.00,0.41,0.12218989,0.05395833,0.321027861,367590,3.269568939,33.70172241,-0.891598119,-2.102178969,-1.136227365,12.81472347
1991,27,448239806659000.00,0.39,0.12151366,0.05625,0.325718506,369396,3.295836866,33.73634949,-0.94160854,-2.107728595,-1.121721749,12.81962452
1992,27.7,452276591902000.00,0.38,0.12426247,0.036875,0.338288567,371894,3.321432413,33.74531504,-0.967584026,-2.085359257,-1.083855999,12.82636415
1993,27.9,450199648620000.00,0.37,0.12714285,0.023125,0.348734168,366486,3.328626689,33.74071226,-0.994252273,-2.062444021,-1.053445343,12.8117156
1994,28.2,455077035864000.00,0.37,0.13355751,0.0175,0.364773405,353301,3.339321978,33.75148783,-0.994252273,-2.013223107,-1.008478926,12.77507566
1995,28.7,467050110932000.00,0.36,0.13319585,0.01020833,0.38325652,369215,3.356897123,33.77745767,-1.021651248,-2.015934678,-0.959050749,12.81913441
1996,29.1,481686858880000.00,0.39,0.12908775,0.005,0.423511657,376615,3.370738174,33.80831535,-0.94160854,-2.047262873,-0.85917424,12.83897872
1997,29.4,486413308739000.00,0.41,0.13379475,0.005,0.456401986,391572,3.380994674,33.81807981,-0.891598119,-2.01144837,-0.78438131,12.87792469
1998,29.7,480234252148000.00,0.43,0.1382671,0.00416667,0.501838423,401932,3.391147046,33.80529513,-0.84397007,-1.978567957,-0.689477078,12.9040382
1999,29.9,478630606113000.00,0.39,0.14465928,0.0007,0.555752174,405655,3.39785848,33.80195024,-0.94160854,-1.933374095,-0.587432814,12.91325832
2000,30.2,491863055445000.00,0.39,0.14754225,0.00121667,0.585528831,436865,3.407841924,33.82922145,-0.94160854,-1.913640704,-0.535239855,12.9873795
2001,30.2,493762155554000.00,0.41,0.15422979,0.00058417,0.633908445,439175,3.407841924,33.83307505,-0.891598119,-1.869311646,-0.455850743,12.99265325
2002,30.3,493969350495000.00,0.42,0.15902032,0.00008,0.805718006,421044,3.411147713,33.83349459,-0.867500568,-1.838723286,-0.216021466,12.95049262
2003,30,501552399954000.00,0.43,0.16323248,0.00004,0.859331946,413093,3.401197382,33.8487292,-0.84397007,-1.812579837,-0.151599999,12.93142803
2004,29.6,512516915685000.00,0.45,0.16208598,0.00002,0.87411749,423081,3.387774361,33.87035483,-0.798507696,-1.819628344,-0.134540484,12.95531893
2005,29.4,521762212797000.00,0.48,0.16504084,0.0000325,0.898876899,427078,3.380994674,33.88823307,-0.733969175,-1.801562321,-0.106609185,12.96472195
2006,29.4,528922617190000.00,0.53,0.16558979,0.0012525,0.913177059,408674,3.380994674,33.90186326,-0.634878272,-1.798241694,-0.090825486,12.92067305
2007,29.6,536771667040000.00,0.58,0.16660911,0.00479167,0.899823947,396291,3.387774361,33.91659392,-0.544727175,-1.792104869,-0.105556149,12.88990407
2008,30.3,530200030562000.00,0.57,0.17089857,0.00433333,0.905318695,391002,3.411147713,33.90427547,-0.562118918,-1.766685056,-0.099468248,12.87646795
2009,30.3,500014489647000.00,0.56,0.18606813,0.001,0.965972007,348596,3.411147713,33.84565819,-0.579818495,-1.681642382,-0.034620423,12.76166894
2010,30,520504673018000.00,0.58,0.1850616,0.000875,0.94523647,344598,3.401197382,33.88581998,-0.544727175,-1.687066536,-0.05632015,12.7501338
2011,30.2,520628602702000.00,0.59,0.19376038,0.0005,0.991109588,342610,3.407841924,33.88605805,-0.527632742,-1.641133038,-0.008930168,12.74434805
2012,30.1,527785949619000.00,0.6,0.19265489,0.0005,1.013668515,342796,3.404525172,33.89971192,-0.510825624,-1.646854825,0.013575943,12.7448908
2013,29.9,538368586628000.00,0.65,0.1900612,0.00065167,1.040179561,328436,3.39785848,33.91956455,-0.430782916,-1.660409153,0.039393353,12.70209727
2014,29.8,539963264068000.00,0.69,0.19692743,0.00067917,1.087110993,325989,3.394508394,33.92252222,-0.371063681,-1.624919994,0.083523712,12.69461892
2015,29.8,548390074920000.00,0.72,0.19593346,0.00072833,1.123288017,318721,3.394508394,33.93800797,-0.328504067,-1.629980167,0.116260114,12.67207139
2016,30,552523985976000.00,0.72,0.20168632,-0.0004442,1.194518277,318381,3.401197382,33.94551796,-0.328504067,-1.60104166,0.177742989,12.67100406
2017,30.2,561780595749000.00,0.74,0.20660935,-0.001,1.267398706,318481,3.407841924,33.96213249,-0.301105093,-1.576925467,0.236966537,12.6713181
2018,30.6,565395041674000.00,0.75,0.21314931,-0.001,1.337118199,313567,3.421000009,33.96854579,-0.287682072,-1.545762373,0.2905167,12.65576833
2019,31,563121196953000.00,0.76,0.22051972,-0.001,1.413550057,307969,3.433987204,33.96451599,-0.274436846,-1.511768155,0.346104311,12.63775441
2020,31.3,539646000000000.00,0.76,0.23063669,-0.001,1.634404776,288472,3.443618098,33.92193448,-0.274436846,-1.466911577,0.491278687,12.57235331
2021,31.9,554197953954000.00,0.78,0.23813412,-0.001,1.748472713,289200,3.46260601,33.94854306,-0.248461359,-1.434921235,0.558742671,12.57487377